MURDGRP,SEX,CNTY,WEAPON_CODE,TOTAL,SOLVED,PERCENT,UNSOLVED
106,1,0,6,361744,239983,0.6634056128090583,121761
105,1,0,5,79019,41171,0.5210265885419962,37848
107,1,0,7,91314,72828,0.7975556869702346,18486
110,1,0,10,31147,19086,0.6127716955083957,12061
206,2,0,6,67597,55856,0.8263088598606447,11741
101,1,0,1,25602,17711,0.6917818920396844,7891
207,2,0,7,33464,26145,0.7812873535739899,7319
210,2,0,10,19237,12503,0.6499454176846702,6734
115,1,0,15,30984,25816,0.8332042344435838,5168
111,1,0,11,29022,24372,0.8397767211081248,4650
205,2,0,5,13509,9138,0.6764379302687098,4371
114,1,0,14,25334,20988,0.8284518828451883,4346
211,2,0,11,20368,16753,0.8225157109190888,3615
201,2,0,1,11613,8329,0.7172134676655473,3284
216,2,0,16,6949,3764,0.5416606706000864,3185
109,1,0,9,3711,2050,0.5524117488547561,1661
104,1,0,4,4604,3018,0.6555169417897481,1586
116,1,0,16,3204,1792,0.5593008739076155,1412
204,2,0,4,3554,2536,0.7135621834552617,1018
117,1,0,17,1336,424,0.31736526946107785,912
200,2,0,0,3079,2397,0.7784995128288406,682
215,2,0,15,8904,8263,0.9280098831985625,641
214,2,0,14,7098,6468,0.9112426035502958,630
100,1,0,0,2290,1742,0.7606986899563318,548
910,9,0,10,659,198,0.30045523520485584,461
217,2,0,17,543,115,0.21178637200736647,428
108,1,0,8,2402,2029,0.8447127393838468,373
209,2,0,9,727,482,0.6629986244841816,245
208,2,0,8,1563,1367,0.8746001279590531,196
906,9,0,6,374,206,0.5508021390374331,168
202,2,0,2,717,567,0.7907949790794979,150
905,9,0,5,238,97,0.40756302521008403,141
103,1,0,3,383,246,0.6422976501305483,137
102,1,0,2,796,674,0.8467336683417085,122
112,1,0,12,355,284,0.8,71
907,9,0,7,104,49,0.47115384615384615,55
203,2,0,3,253,205,0.8102766798418972,48
212,2,0,12,286,248,0.8671328671328671,38
904,9,0,4,49,16,0.32653061224489793,33
911,9,0,11,79,49,0.620253164556962,30
113,1,0,13,156,134,0.8589743589743589,22
901,9,0,1,47,25,0.5319148936170213,22
213,2,0,13,106,93,0.8773584905660378,13
914,9,0,14,29,16,0.5517241379310345,13
909,9,0,9,18,7,0.3888888888888889,11
915,9,0,15,27,17,0.6296296296296297,10
908,9,0,8,22,17,0.7727272727272727,5
916,9,0,16,4,0,0.0,4
900,9,0,0,8,5,0.625,3
917,9,0,17,2,0,0.0,2
912,9,0,12,4,3,0.75,1
902,9,0,2,2,1,0.5,1
