MURDGRP,SEX,MSA_LABEL,WEAPON_CODE,TOTAL,SOLVED,PERCENT,WEAPON_LABEL,UNSOLVED
44682127,1,"New York-New Jersey-Long Island, NY-NJ",6,32079,14715,0.4587113064621715,"Handgun - pistol, revolver, etc",17364
53190724,1,"Los Angeles-Long Beach, CA",6,32105,17445,0.5433733063385765,"Handgun - pistol, revolver, etc",14660
19709284,1,"Chicago-Naperville-Joliet, IL-IN-WI",6,20953,10767,0.513864363098363,"Handgun - pistol, revolver, etc",10186
90858271,1,"Baltimore-Towson, MD",6,9672,4423,0.45729942100909843,"Handgun - pistol, revolver, etc",5249
58219790,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6,8712,3699,0.42458677685950413,"Handgun - pistol, revolver, etc",5013
45536119,1,"Philadelphia-Camden-Wilmington, PA-NJ-DE",6,13978,9318,0.6666189726713406,"Handgun - pistol, revolver, etc",4660
10996978,1,"San Francisco-Oakland-Fremont, CA",6,7486,3707,0.49519102324338765,"Handgun - pistol, revolver, etc",3779
32521546,1,"Detroit-Warren-Livonia, MI",6,10017,6641,0.6629729459918139,"Handgun - pistol, revolver, etc",3376
45913255,1,"Atlanta-Sandy Springs-Marietta, GA",6,8718,5485,0.6291580637760954,"Handgun - pistol, revolver, etc",3233
95120032,1,"New Orleans-Metairie-Kenner, LA",6,6960,3901,0.5604885057471264,"Handgun - pistol, revolver, etc",3059
6189223,1,"New York-New Jersey-Long Island, NY-NJ",7,9696,6707,0.6917285478547854,Knife or cutting instrument,2989
46187837,1,"Dallas-Fort Worth-Arlington, TX",6,9603,7054,0.734562116005415,"Handgun - pistol, revolver, etc",2549
99585251,1,"Detroit-Warren-Livonia, MI",5,4516,2036,0.4508414526129318,"Firearm, type not stated",2480
36238627,1,"Miami-Fort Lauderdale, FL",6,6658,4379,0.657705016521478,"Handgun - pistol, revolver, etc",2279
19864334,1,"Houston-Sugar Land-Baytown, TX",6,11935,9743,0.816338500209468,"Handgun - pistol, revolver, etc",2192
94137227,1,"Riverside-San Bernardino, CA",6,5598,3434,0.6134333690603787,"Handgun - pistol, revolver, etc",2164
