MURDGRP,SEX,MSA_LABEL,WEAPON_CODE,TOTAL,SOLVED,PERCENT,WEAPON_LABEL,REL_UNK_RATE,REL_TOP1,CIRC_UNK_RATE,CIRC_TOP1,UNSOLVED,REPORT_GAP_IDX
68843893,2,"New York-New Jersey-Long Island, NY-NJ",6,3386,2218,0.655050206733609,"Handgun - pistol, revolver, etc",0.47046662728883637,Wife,0.4353219137625517,Other arguments,1168,0.45289427052569403
62493998,2,"Los Angeles-Long Beach, CA",6,3936,2868,0.7286585365853658,"Handgun - pistol, revolver, etc",0.24466463414634146,Stranger,0.14380081300813008,Other arguments,1068,0.19423272357723576
65759645,2,"New York-New Jersey-Long Island, NY-NJ",7,3187,2288,0.7179165359272043,Knife or cutting instrument,0.3605271415123941,Wife,0.38374647003451523,Other arguments,899,0.37213680577345465
84362175,2,"Chicago-Naperville-Joliet, IL-IN-WI",6,2463,1717,0.6971173365814048,"Handgun - pistol, revolver, etc",0.3560698335363378,Stranger,0.22127486804709703,Other arguments,746,0.28867235079171744
15641893,2,"New York-New Jersey-Long Island, NY-NJ",11,1867,1153,0.6175682913765399,"Personal weapons, includes beating",0.4440278521692555,Daughter,0.42635243706480985,Other,714,0.43519014461703265
67936706,2,"New York-New Jersey-Long Island, NY-NJ",10,985,502,0.5096446700507614,Other or type unknown,0.5512690355329949,Daughter,0.48223350253807107,Other,483,0.5167512690355329
89201110,2,"Los Angeles-Long Beach, CA",7,1674,1240,0.7407407407407407,Knife or cutting instrument,0.24970131421744324,Stranger,0.15173237753882915,Other arguments,434,0.2007168458781362
49139698,2,"Detroit-Warren-Livonia, MI",6,1649,1247,0.7562158884172225,"Handgun - pistol, revolver, etc",0.33596118859915103,Acquaintance,0.32989690721649484,Other arguments,402,0.33292904790782296
95627511,2,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6,1188,798,0.6717171717171717,"Handgun - pistol, revolver, etc",0.3838383838383838,Wife,0.36363636363636365,Other arguments,390,0.3737373737373737
41912975,2,"San Francisco-Oakland-Fremont, CA",6,1195,840,0.702928870292887,"Handgun - pistol, revolver, etc",0.2828451882845188,Wife,0.22426778242677825,Other arguments,355,0.25355648535564856
84878321,2,"Chicago-Naperville-Joliet, IL-IN-WI",7,1260,935,0.7420634920634921,Knife or cutting instrument,0.28809523809523807,Girlfriend,0.18492063492063493,Other arguments,325,0.2365079365079365
66036809,2,"Atlanta-Sandy Springs-Marietta, GA",6,1688,1373,0.8133886255924171,"Handgun - pistol, revolver, etc",0.21741706161137442,Wife,0.19845971563981044,Other arguments,315,0.20793838862559244
32612844,2,"Baltimore-Towson, MD",6,938,628,0.6695095948827292,"Handgun - pistol, revolver, etc",0.43176972281449894,Acquaintance,0.4189765458422175,Other arguments,310,0.4253731343283582
35119246,2,"Dallas-Fort Worth-Arlington, TX",6,1863,1555,0.8346752549651101,"Handgun - pistol, revolver, etc",0.2673107890499195,Wife,0.22544283413848631,Other arguments,308,0.2463768115942029
38678938,2,"Philadelphia-Camden-Wilmington, PA-NJ-DE",6,1566,1259,0.8039591315453385,"Handgun - pistol, revolver, etc",0.25287356321839083,Girlfriend,0.22413793103448276,Other arguments,307,0.2385057471264368
1066748,2,"Detroit-Warren-Livonia, MI",5,640,345,0.5390625,"Firearm, type not stated",0.73125,Acquaintance,0.665625,Other arguments,295,0.6984375
