ID,Year,Month,State,MSA_LABEL,CNTY_LABEL,Ori,Agency,VicSex,VicAge,OffSex,OffAge,Weapon,WEAPON_LABEL,Relationship,Circumstance,Subcircum,Situation,Solved,SOLVED
202012001IL04900,2020,December,Illinois,"Chicago-Naperville-Joliet, IL-IN-WI","Lake, IL",IL04900,Lake County,Female,49,Unknown,999,Weapon Not Reported,Weapon Not Reported,Relationship not determined,Circumstances undetermined,,Multiple victims/single offender,Yes,0
202012001ILCPD00,2020,December,Illinois,"Chicago-Naperville-Joliet, IL-IN-WI","Cook, IL",ILCPD00,Chicago,Female,21,Unknown,999,Weapon Not Reported,Weapon Not Reported,Relationship not determined,Circumstances undetermined,,Multiple victims/unknown offender(s),No,0
202012001ILCPD00,2020,December,Illinois,"Chicago-Naperville-Joliet, IL-IN-WI","Cook, IL",ILCPD00,Chicago,Female,25,Unknown,999,Weapon Not Reported,Weapon Not Reported,Relationship not determined,Circumstances undetermined,,Multiple victims/unknown offender(s),No,0
202006062ILCPD00,2020,June,Illinois,"Chicago-Naperville-Joliet, IL-IN-WI","Cook, IL",ILCPD00,Chicago,Female,24,Unknown,999,Weapon Not Reported,Weapon Not Reported,Relationship not determined,Circumstances undetermined,,Multiple victims/single offender,Yes,0
202006062ILCPD00,2020,June,Illinois,"Chicago-Naperville-Joliet, IL-IN-WI","Cook, IL",ILCPD00,Chicago,Female,27,Unknown,999,Weapon Not Reported,Weapon Not Reported,Relationship not determined,Circumstances undetermined,,Multiple victims/single offender,Yes,0
202006062ILCPD00,2020,June,Illinois,"Chicago-Naperville-Joliet, IL-IN-WI","Cook, IL",ILCPD00,Chicago,Female,56,Unknown,999,Weapon Not Reported,Weapon Not Reported,Relationship not determined,Circumstances undetermined,,Multiple victims/single offender,Yes,0
202003001ILCPD00,2020,March,Illinois,"Chicago-Naperville-Joliet, IL-IN-WI","Cook, IL",ILCPD00,Chicago,Female,34,Unknown,999,Weapon Not Reported,Weapon Not Reported,Relationship not determined,Circumstances undetermined,,Multiple victims/single offender,Yes,0
202005051ILCPD00,2020,May,Illinois,"Chicago-Naperville-Joliet, IL-IN-WI","Cook, IL",ILCPD00,Chicago,Female,19,Unknown,999,Weapon Not Reported,Weapon Not Reported,Relationship not determined,Circumstances undetermined,,Multiple victims/unknown offender(s),No,0
202005051ILCPD00,2020,May,Illinois,"Chicago-Naperville-Joliet, IL-IN-WI","Cook, IL",ILCPD00,Chicago,Female,22,Unknown,999,Weapon Not Reported,Weapon Not Reported,Relationship not determined,Circumstances undetermined,,Multiple victims/unknown offender(s),No,0
202009027ILCPD00,2020,September,Illinois,"Chicago-Naperville-Joliet, IL-IN-WI","Cook, IL",ILCPD00,Chicago,Female,47,Unknown,999,Weapon Not Reported,Weapon Not Reported,Relationship not determined,Circumstances undetermined,,Multiple victims/single offender,Yes,0
202105001IL01609,2021,May,Illinois,"Chicago-Naperville-Joliet, IL-IN-WI","Cook, IL",IL01609,Berwyn,Female,24,Unknown,999,Weapon Not Reported,Weapon Not Reported,Relationship not determined,Circumstances undetermined,,Multiple victims/unknown offender(s),No,0
202202001IL01900,2022,February,Illinois,"Chicago-Naperville-Joliet, IL-IN-WI","DeKalb, IL",IL01900,De Kalb County,Female,46,Unknown,999,Weapon Not Reported,Weapon Not Reported,Relationship not determined,Circumstances undetermined,,Multiple victims/single offender,Yes,0
202211001IN04509,2022,November,Indiana,"Chicago-Naperville-Joliet, IL-IN-WI","Lake, IN",IN04509,Hobart,Female,19,Unknown,999,Weapon Not Reported,Weapon Not Reported,Relationship not determined,Circumstances undetermined,,Multiple victims/multiple offenders,Yes,0
202211001IN04509,2022,November,Indiana,"Chicago-Naperville-Joliet, IL-IN-WI","Lake, IN",IN04509,Hobart,Female,20,Unknown,999,Weapon Not Reported,Weapon Not Reported,Relationship not determined,Circumstances undetermined,,Multiple victims/multiple offenders,Yes,0
202306001IL01650,2023,June,Illinois,"Chicago-Naperville-Joliet, IL-IN-WI","Cook, IL",IL01650,Hoffman Estates,Female,30,Unknown,999,Weapon Not Reported,Weapon Not Reported,Relationship not determined,Circumstances undetermined,,Multiple victims/single offender,Yes,0
202306001IL01650,2023,June,Illinois,"Chicago-Naperville-Joliet, IL-IN-WI","Cook, IL",IL01650,Hoffman Estates,Female,18,Unknown,999,Weapon Not Reported,Weapon Not Reported,Relationship not determined,Circumstances undetermined,,Multiple victims/single offender,Yes,0
202303001IL09902,2023,March,Illinois,"Chicago-Naperville-Joliet, IL-IN-WI","Will, IL",IL09902,Bolingbrook,Female,9,Unknown,999,Weapon Not Reported,Weapon Not Reported,Relationship not determined,Circumstances undetermined,,Multiple victims/single offender,Yes,0
202303001IL09902,2023,March,Illinois,"Chicago-Naperville-Joliet, IL-IN-WI","Will, IL",IL09902,Bolingbrook,Female,17,Unknown,999,Weapon Not Reported,Weapon Not Reported,Relationship not determined,Circumstances undetermined,,Multiple victims/single offender,Yes,0
