ID,Year,Month,State,MSA_LABEL,CNTY_LABEL,Ori,Agency,VicSex,VicAge,OffSex,OffAge,Weapon,WEAPON_LABEL,Relationship,Circumstance,Subcircum,Situation,Solved,SOLVED
197602001TN07501,1976,February,Tennessee,"Nashville-Davidson-Murfreesboro, TN","Rutherford, TN",TN07501,Murfreesboro,Female,3,Unknown,999,Strangulation - hanging,Strangulation - hanging,Friend,Other,,Single victim/unknown offender(s),No,0
197601001TN07501,1976,January,Tennessee,"Nashville-Davidson-Murfreesboro, TN","Rutherford, TN",TN07501,Murfreesboro,Female,9,Female,13,Strangulation - hanging,Strangulation - hanging,Friend,Other,,Single victim/single offender,Yes,1
197708005TN01901,1977,August,Tennessee,"Nashville-Davidson-Murfreesboro, TN","Davidson, TN",TN01901,Nashville,Female,999,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
197703003TN01901,1977,March,Tennessee,"Nashville-Davidson-Murfreesboro, TN","Davidson, TN",TN01901,Nashville,Female,28,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
197711001TN01901,1977,November,Tennessee,"Nashville-Davidson-Murfreesboro, TN","Davidson, TN",TN01901,Nashville,Female,24,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
197711003TN01901,1977,November,Tennessee,"Nashville-Davidson-Murfreesboro, TN","Davidson, TN",TN01901,Nashville,Female,18,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
197710001TN01901,1977,October,Tennessee,"Nashville-Davidson-Murfreesboro, TN","Davidson, TN",TN01901,Nashville,Female,19,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
198310009TN01901,1983,October,Tennessee,"Nashville-Davidson-Murfreesboro, TN","Davidson, TN",TN01901,Nashville,Female,29,Male,23,Strangulation - hanging,Strangulation - hanging,Neighbor,Robbery,,Single victim/single offender,Yes,1
198506005TN01901,1985,June,Tennessee,"Nashville-Davidson-Murfreesboro, TN","Davidson, TN",TN01901,Nashville,Female,31,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
198505001TN01901,1985,May,Tennessee,"Nashville-Davidson-Murfreesboro, TN","Davidson, TN",TN01901,Nashville,Female,23,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
198603007TN01901,1986,March,Tennessee,"Nashville-Davidson-Murfreesboro, TN","Davidson, TN",TN01901,Nashville,Female,43,Male,39,Strangulation - hanging,Strangulation - hanging,Girlfriend,Brawl due to influence of alcohol,,Single victim/single offender,Yes,1
198808009TN01901,1988,August,Tennessee,"Nashville-Davidson-Murfreesboro, TN","Davidson, TN",TN01901,Nashville,Female,69,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Rape,,Single victim/unknown offender(s),No,0
198905002TN01901,1989,May,Tennessee,"Nashville-Davidson-Murfreesboro, TN","Davidson, TN",TN01901,Nashville,Female,27,Male,24,Strangulation - hanging,Strangulation - hanging,Girlfriend,Other arguments,,Single victim/single offender,Yes,1
199005005TN01901,1990,May,Tennessee,"Nashville-Davidson-Murfreesboro, TN","Davidson, TN",TN01901,Nashville,Female,30,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
199110005TN01901,1991,October,Tennessee,"Nashville-Davidson-Murfreesboro, TN","Davidson, TN",TN01901,Nashville,Female,25,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
199405007TN01901,1994,May,Tennessee,"Nashville-Davidson-Murfreesboro, TN","Davidson, TN",TN01901,Nashville,Female,34,Male,35,Strangulation - hanging,Strangulation - hanging,Girlfriend,Other arguments,,Single victim/single offender,Yes,1
199903002TN01901,1999,March,Tennessee,"Nashville-Davidson-Murfreesboro, TN","Davidson, TN",TN01901,Nashville,Female,34,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
199903005TN01901,1999,March,Tennessee,"Nashville-Davidson-Murfreesboro, TN","Davidson, TN",TN01901,Nashville,Female,31,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
