ID,Year,Month,State,MSA_LABEL,CNTY_LABEL,Ori,Agency,VicSex,VicAge,OffSex,OffAge,Weapon,WEAPON_LABEL,Relationship,Circumstance,Subcircum,Situation,Solved,SOLVED
197604001UT01800,1976,April,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01800,Salt Lake County,Female,23,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Other,,Single victim/unknown offender(s),No,0
197603001UT01803,1976,March,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01803,Salt Lake City,Female,24,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Rape,,Single victim/unknown offender(s),No,0
197712001UT01803,1977,December,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01803,Salt Lake City,Female,16,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
197702001UT01803,1977,February,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01803,Salt Lake City,Female,51,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Other,,Single victim/unknown offender(s),No,0
197705001UT01800,1977,May,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01800,Salt Lake County,Female,19,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,All suspected felony type,,Single victim/unknown offender(s),No,0
197904001UT01802,1979,April,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01802,Murray,Female,31,Male,24,Strangulation - hanging,Strangulation - hanging,Other - known to victim,Circumstances undetermined,,Single victim/single offender,Yes,1
198003001UT01800,1980,March,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01800,Salt Lake County,Female,33,Unknown,999,Strangulation - hanging,Strangulation - hanging,Stranger,Burglary,,Single victim/unknown offender(s),No,0
198503001UT01800,1985,March,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01800,Salt Lake County,Female,30,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
198602001UT01800,1986,February,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01800,Salt Lake County,Female,26,Male,27,Strangulation - hanging,Strangulation - hanging,Stranger,Other - not specified,,Single victim/single offender,Yes,1
198607002UT01803,1986,July,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01803,Salt Lake City,Female,20,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
198611001UT01803,1986,November,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01803,Salt Lake City,Female,87,Male,90,Strangulation - hanging,Strangulation - hanging,Wife,Other,,Single victim/single offender,Yes,1
198904001UT01800,1989,April,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01800,Salt Lake County,Female,17,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Rape,,Single victim/unknown offender(s),No,0
198911001UT01803,1989,November,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01803,Salt Lake City,Female,62,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Rape,,Single victim/unknown offender(s),No,0
199007003UT01803,1990,July,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01803,Salt Lake City,Female,41,Male,43,Strangulation - hanging,Strangulation - hanging,Girlfriend,Other arguments,,Single victim/single offender,Yes,1
199206001UT02300,1992,June,Utah,"Salt Lake City, UT","Tooele, UT",UT02300,Tooele County,Female,30,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
199211003UT01803,1992,November,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01803,Salt Lake City,Female,18,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
199511001UT01803,1995,November,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01803,Salt Lake City,Female,33,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
199810002UT01803,1998,October,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01803,Salt Lake City,Female,17,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Rape,,Single victim/unknown offender(s),No,0
199906001UT01803,1999,June,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01803,Salt Lake City,Female,31,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
200203001UT01803,2002,March,Utah,"Salt Lake City, UT","Salt Lake, UT",UT01803,Salt Lake City,Female,33,Male,30,Strangulation - hanging,Strangulation - hanging,Acquaintance,Other arguments,,Single victim/single offender,Yes,1
