ID,Year,Month,State,MSA_LABEL,CNTY_LABEL,Ori,Agency,VicSex,VicAge,OffSex,OffAge,Weapon,WEAPON_LABEL,Relationship,Circumstance,Subcircum,Situation,Solved,SOLVED
197712002KS08703,1977,December,Kansas,"Wichita, KS","Sedgwick, KS",KS08703,Wichita,Female,25,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Other,,Single victim/unknown offender(s),No,0
197703001KS08703,1977,March,Kansas,"Wichita, KS","Sedgwick, KS",KS08703,Wichita,Female,26,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Other,,Single victim/unknown offender(s),No,0
197912001KS04000,1979,December,Kansas,"Wichita, KS","Harvey, KS",KS04000,Harvey County,Female,20,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
197905005KS08703,1979,May,Kansas,"Wichita, KS","Sedgwick, KS",KS08703,Wichita,Female,18,Male,21,Strangulation - hanging,Strangulation - hanging,Wife,Other arguments,,Single victim/single offender,Yes,1
197909001KS08703,1979,September,Kansas,"Wichita, KS","Sedgwick, KS",KS08703,Wichita,Female,47,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Other - not specified,,Single victim/unknown offender(s),No,0
198004002KS08703,1980,April,Kansas,"Wichita, KS","Sedgwick, KS",KS08703,Wichita,Female,20,Male,35,Strangulation - hanging,Strangulation - hanging,Stranger,Rape,,Single victim/multiple offenders,Yes,1
198003002KS08703,1980,March,Kansas,"Wichita, KS","Sedgwick, KS",KS08703,Wichita,Female,7,Male,30,Strangulation - hanging,Strangulation - hanging,Neighbor,Other - not specified,,Single victim/single offender,Yes,1
198212003KS08703,1982,December,Kansas,"Wichita, KS","Sedgwick, KS",KS08703,Wichita,Female,56,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
198201001KS08703,1982,January,Kansas,"Wichita, KS","Sedgwick, KS",KS08703,Wichita,Female,64,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,All suspected felony type,,Single victim/unknown offender(s),No,0
198311001KS08700,1983,November,Kansas,"Wichita, KS","Sedgwick, KS",KS08700,Sedgwick County,Female,48,Male,45,Strangulation - hanging,Strangulation - hanging,Acquaintance,Other - not specified,,Multiple victims/multiple offenders,Yes,1
198504001KS08716,1985,April,Kansas,"Wichita, KS","Sedgwick, KS",KS08716,Park City,Female,53,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
198609002KS08703,1986,September,Kansas,"Wichita, KS","Sedgwick, KS",KS08703,Wichita,Female,28,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
198702001KS08703,1987,February,Kansas,"Wichita, KS","Sedgwick, KS",KS08703,Wichita,Female,60,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Rape,,Single victim/unknown offender(s),No,0
198706001KS08703,1987,June,Kansas,"Wichita, KS","Sedgwick, KS",KS08703,Wichita,Female,54,Unknown,999,Strangulation - hanging,Strangulation - hanging,Relationship not determined,Circumstances undetermined,,Single victim/unknown offender(s),No,0
198705001KS08700,1987,May,Kansas,"Wichita, KS","Sedgwick, KS",KS08700,Sedgwick County,Female,17,Male,45,Strangulation - hanging,Strangulation - hanging,Stranger,Circumstances undetermined,,Single victim/single offender,Yes,1
198801001KS08703,1988,January,Kansas,"Wichita, KS","Sedgwick, KS",KS08703,Wichita,Female,19,Unknown,999,Strangulation - hanging,Strangulation - hanging,Stranger,Circumstances undetermined,,Single victim/unknown offender(s),No,0
